Title,Price,Category,Rating,Number of Reviews
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)","₹9,999",mobiles 5g,4.4,"29,275 Ratings & 872 Reviews"
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)","₹19,999",mobiles 5g,4.5,"53,001 Ratings & 3,274 Reviews"
"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹8,999",mobiles 5g,4.2,"93,278 Ratings & 6,141 Reviews"
"Samsung Galaxy F06 5G (Lit Violet, 64 GB)","₹7,499",mobiles 5g,4.1,"29,113 Ratings & 1,758 Reviews"
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,4.4,0
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,Unknown,0
"realme P3x 5G (Lunar Silver, 128 GB)","₹10,249",mobiles 5g,4.4,"47,245 Ratings & 1,691 Reviews"
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 128 GB)","₹17,999",mobiles 5g,4.5,"53,001 Ratings & 3,274 Reviews"
"realme P4 5G (Engine Blue, 128 GB)","₹15,999",mobiles 5g,4.4,"9,835 Ratings & 661 Reviews"
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 256 GB)","₹12,999",mobiles 5g,4.3,"13,305 Ratings & 555 Reviews"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)","₹11,999",mobiles 5g,4.5,"13,953 Ratings & 1,243 Reviews"
"realme P3 Pro 5G (Nebula Glow, 128 GB)","₹15,999",mobiles 5g,4.4,"11,437 Ratings & 866 Reviews"
"realme 15x 5G (Aqua Blue, 128 GB)","₹16,999",mobiles 5g,4.3,476 Ratings & 33 Reviews
"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹11,999",mobiles 5g,4.3,62 Ratings & 7 Reviews
"realme P3 Pro 5G (Galaxy Purple, 256 GB)","₹16,999",mobiles 5g,4.4,"11,437 Ratings & 866 Reviews"
"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)","₹19,999",mobiles 5g,4.5,"86,762 Ratings & 4,464 Reviews"
"realme P4 Pro 5G (Midnight Ivy, 256 GB)","₹24,999",mobiles 5g,4.4,"9,401 Ratings & 798 Reviews"
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹8,999",mobiles 5g,4.2,"13,714 Ratings & 862 Reviews"
"POCO M7 Plus 5G (Carbon Black, 128 GB)","₹11,999",mobiles 5g,4.3,"2,370 Ratings & 129 Reviews"
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)","₹10,999",mobiles 5g,4.4,"35,470 Ratings & 1,069 Reviews"
"Motorola g45 5G (Pantone Moss, 128 GB)","₹11,999",mobiles 5g,4.3,"2,33,615 Ratings & 11,670 Reviews"
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 256 GB)","₹19,999",mobiles 5g,4.5,"53,001 Ratings & 3,274 Reviews"
